toy_id,toy_name,setls_internal_id,rental_price_cents,fetch_status
549,Little Tikes Basketball Hoop - Small but adjustable,143365,50,ok
55,Wooden block shape puzzle,142936,50,ok
550,Activity Climber,141820,300,ok
553,Black and Decker Electronic Workbench,141823,200,ok
554,Fisher Price Learning Home,141824,100,ok
555,Appleyard Riding Stable,141825,200,ok
557,Big Jake Tractor and Trailer,141827,300,ok
562,Time to Learn Preschool,141832,100,ok
563,Pikler Climbing Frame and Ramp with foot grips (1#),143370,200,ok
564,Cube Building Blocks,141834,50,ok
566,Thomas and James Duplo Train Set,141836,200,ok
569,Pikler Climbing Ladder (foldable),143373,100,ok
57,Kiwi puzzle,142937,50,ok
571,Twirlin Whirlin Turtle,141841,100,ok
574,Monster Truck Set,143377,50,ok
575,Rocking Ark with Animal Blocks,141845,100,ok
576,Wooden Farmyard Balancing Set,143378,,no_price
58,Star wars puzzle,142938,50,ok
59,Ben 10 puzzle,142939,50,ok
603,Little People - DumpTruck,141873,50,ok
608,Junior Activity Park,141878,300,ok
61,Ring Around Bead Frame,141394,50,ok
610,Leaping Lizards,141880,50,ok
611,Discover Sounds - Stackin Pans,141881,50,ok
618,Baby Grand Piano,141888,200,ok
62,Sandpit Front End Loader,141395,100,ok
620,Thomas Bead Frame,141890,50,ok
621,Post Office Play Set,141891,100,ok
628,Thomas - Quarry Mine Tunnel Set,141898,100,ok
63,race car transporter,141396,50,ok
634,Wooden blocks w/ yellow shape sorting lid,143411,50,ok
636,Connetrix,141906,50,ok
642,Harry Copters Animal Rescue,141912,50,ok
643,Thomas & Friends Playset,143416,50,ok
644,Duplo Fire station & Rescue Helicopter,143417,50,ok
645,Tap Tap Animals,141915,50,ok
646,Blue Ice Dragon,143418,50,ok
647,White Picnic Basket,143419,50,ok
648,PJ Masks Headquarters,143420,50,ok
65,Doc McStuffins puzzle tin,142941,50,ok
650,Ironing Board and Iron,141920,50,ok
653,Bounce and Spin Zebra,141923,200,ok
656,Ninja turtle puzzle & board game,143424,50,ok
657,Donatello ninja turtle,143425,50,ok
660,Electronic Barbeque,141930,50,ok
673,Black Motorbike,141943,50,ok
684,Brainy Buds,143452,100,ok
685,Create a Car,141955,50,ok
687,Brainbox Radio Kit,143459,100,ok
689,Adventure Tent Set with Crawl Tunnel,143460,200,ok
69,Find it 123 50 piece floor puzzle,142945,50,ok
690,Learning Piggy Bank,141960,100,ok
691,Green Mocka Bike,143461,50,ok
692,Vtech Farm Activity Walker,143462,50,ok
693,Popn Surprise Train,141963,100,ok
696,Imaginext - Jungle,141966,100,ok
697,Alphabet Lotto,141967,50,ok
698,Numbers and Counting Dominoes,141968,50,ok
7,Superhero costume,142902,50,ok
700,Princess Elise - Magnetic Dressing Doll,141970,50,ok
707,Hammer Balls,141977,50,ok
710,Fisher-price ABC Bus,143467,50,ok
714,Pound the Ball,141984,50,ok
715,Number Cakes,141985,100,ok
72,Mobilio,141403,50,ok
720,BIG plastic Kitchen,141990,200,ok
723,Threading Tree,141993,50,ok
724,CAT Tipping Dump Ride-on,141994,100,ok
726,Little Hero Garage Monster,143476,100,ok
727,Disney Princess Cinderella's Carriage,143477,100,ok
728,Junior Monopoly,141998,100,ok
73,Small car slopes,142948,50,ok
731,Attribute Block Set (wooden),142001,50,ok
732,Rescue Hero Avalanche,142002,100,ok
738,Vtech activity table,143483,100,ok
739,Vtech little driver,143484,50,ok
74,Jolly Jumper,141405,50,ok
743,Minitrac Cat Tipping Dumptruck 2,142013,100,ok
744,Ranbow walker,143485,100,ok
745,Leap frog alphabetical pull along dog,143486,50,ok
746,Press and dash dog,143487,50,ok
747,Dino pop up,143488,50,ok
748,Animal pop up,143489,50,ok
749,Animal push and play,143490,50,ok
75,Duplo- Arctic Set,141406,100,ok
751,vtech pop-a-ball pit,143491,100,ok
754,1# vtech pop-a-ball pit,143492,100,ok
755,Fisher price stand and twirl,143493,100,ok
758,Tolo happy friends,143494,50,ok
76,All Terrain Vehicle,141407,100,ok
761,Ride 2 Roll Scooter 2,142030,50,ok
765,2n1 Dump Truck,142034,100,ok
768,Harvey Harvester,142037,50,ok
775,Chutes and Ladders,142044,50,ok
