toy_id,name,category,age_range,status,manufacturer,description,photo_url,photo_file
J262,4 Animals puzzle,Puzzles and games: For under 5s,18 mths +,In library,,Storage location: Jigsaws,/photos/142776.jpg,142776.jpg
J263,Children of the World puzzle,"Over 5: Harder puzzles, games, small pieces, Lego",4 years +,In library,Melissa and Doug,"Storage location: Jigsaws, 48 piece circular puzzle",/photos/142777.jpg,142777.jpg
J264,Dr Bafflers Muddle Puzzle,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,In library,,Storage location: Jigsaws,,
J265,Breakfast Puzzle,Puzzles and games: For under 5s,2-5 years,In library,,"Storage location: Jigsaws, Board and breakfast pieces",,
J266,Animals of the world,Puzzles and games: For under 5s,3 years +,In library,,Storage location: Jigsaws,/photos/142780.jpg,142780.jpg
J267,lion,"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,"Storage location: Jigsaws, 100 pieces",,
J268,lion king,"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,"Storage location: , 100 pieces",/photos/142782.jpg,142782.jpg
J275,NZ Jigsaw,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, 300 pieces",/photos/142788.jpg,142788.jpg
J277,Animal A to Z,Puzzles and games: For under 5s,2-5 years,In library,Begin again,"Storage location: Jigsaws, 24 animals in wooden tray",/photos/142790.jpg,142790.jpg
J278,wooden farm floor puzzle,Puzzles and games: For under 5s,2-5 years,In library,First Learning,"Storage location: Jigsaws, 26 pieces",,
J279,Wooden Snail Puzzle,Puzzles and games: For under 5s,3 years +,In library,crocodile creek,Storage location: Jigsaws,/photos/142792.jpg,142792.jpg
J280,Solar System,Puzzles and games: For under 5s,3 years +,In library,crocodile creek,"Storage location: Jigsaws, 24 pieces",/photos/142793.jpg,142793.jpg
J282,Little Monkey,Puzzles and games: For under 5s,3 years +,In library,crocodile creek,"Storage location: Jigsaws, 12 pieces",/photos/142795.jpg,142795.jpg
J415,Things that go together,Puzzles and games: For under 5s,,In library,Living and Learning,"Storage location: Jigsaws, 10 x 2piece photo puzzles of things that go together.",,
J453,Whose Home,Puzzles and games: For under 5s,,In library,Living and Learning,Storage location: Jigsaws,,
J48,Petrol Station Stand Up,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden can be built up to  make petrol station",/photos/142583.jpg,142583.jpg
J5,Number Owl Puzzle,Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142548.jpg,142548.jpg
J55,Tugboat,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, knobbed wooden puzzle of a tugboat (9 pieces)",/photos/142586.jpg,142586.jpg
J58,Four Seasons -4 layers,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden",/photos/142588.jpg,142588.jpg
J59,Dog with ball,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden dog puzzle",/photos/142589.jpg,142589.jpg
J65,Roadworks,Puzzles and games: For under 5s,3 years +,In library,Unknown,"Storage location: Jigsaws, Wooden floor puzzle",/photos/142593.jpg,142593.jpg
J654,Fishing Warf,Puzzles and games: For under 5s,3 years +,In library,Unknown,"Storage location: Jigsaws, 20 pieces + board +bag",,
J66,Big Fish,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Floor puzzle wooden",/photos/142594.jpg,142594.jpg
J67,Tiger Puzzle,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden floor puzzle",,
J71,Night Cats,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden raised and textured puzzles",/photos/142597.jpg,142597.jpg
J72,School Tray Puzzle,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden",/photos/142598.jpg,142598.jpg
J74,Fire Tray puzzle,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden",/photos/142600.jpg,142600.jpg
J767,Rooster,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Rooster wooden framed puzzle",/photos/142802.jpg,142802.jpg
J768,Wooden Block Jigsaws,Puzzles and games: For under 5s,1-5yrs,In library,,"Storage location: Jigsaws, Two train Jigsaws and one fish Jigsaw",/photos/142803.jpg,142803.jpg
J89,Dog/Cat/Pig,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Knob puzzle",/photos/142614.jpg,142614.jpg
J9,Everday Life Puzzle (knobs),Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142552.jpg,142552.jpg
J92,Father Christmas,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden frame puzzle",,
J93,Dolphin,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden framed",/photos/142617.jpg,142617.jpg
J98,Farm Animals and Offspring,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden Frame",/photos/142622.jpg,142622.jpg
T84,Firetruck - Sing and Read Songbook,Books:,,In library,,,,
